Country,Gold,Silver,Cluster
United States,40,44,2
China,40,27,2
Japan,20,12,1
Australia,18,19,1
France,16,26,1
Netherlands,15,7,1
Great Britain,14,22,1
South Korea,13,9,1
Italy,12,13,1
Germany,12,13,1
New Zealand,10,7,0
Canada,9,7,1
Uzbekistan,8,2,0
Hungary,6,7,0
Spain,5,4,0
Sweden,4,4,0
Kenya,4,2,0
Norway,4,1,0
Ireland,4,0,0
Brazil,3,7,0
Iran,3,6,0
Ukraine,3,5,0
Romania,3,4,0
Georgia,3,3,0
Belgium,3,1,0
Bulgaria,3,1,0
Serbia,3,1,0
Czech Republic,3,0,0
Denmark,2,2,0
Azerbaijan,2,2,0
Croatia,2,2,0
Cuba,2,1,0
Bahrain,2,1,0
Slovenia,2,1,0
Chinese Taipei,2,0,0
Austria,2,0,0
Hong Kong,2,0,0
Philippines,2,0,0
Algeria,2,0,0
Indonesia,2,0,0
Israel,1,5,0
Poland,1,4,0
Kazakhstan,1,3,0
Jamaica,1,3,0
South Africa,1,3,0
Thailand,1,3,0
Ethiopia,1,3,0
Switzerland,1,2,0
Ecuador,1,2,0
Portugal,1,2,0
Greece,1,1,0
Argentina,1,1,0
Egypt,1,1,0
Tunisia,1,1,0
Botswana,1,1,0
Chile,1,1,0
St Lucia,1,1,0
Uganda,1,1,0
Dominican Republic,1,0,0
Guatemala,1,0,0
Morocco,1,0,0
Dominica,1,0,0
Pakistan,1,0,0
Turkey,0,3,0
Mexico,0,3,0
Armenia,0,3,0
Colombia,0,3,0
North Korea,0,2,0
Kyrgyzstan,0,2,0
Lithuania,0,2,0
India,0,1,0
Moldova,0,1,0
Kosovo,0,1,0
Cyprus,0,1,0
Fiji,0,1,0
Jordan,0,1,0
Mongolia,0,1,0
Panama,0,1,0
Tajikistan,0,0,0
Albania,0,0,0
Grenada,0,0,0
Malaysia,0,0,0
Puerto Rico,0,0,0
Cape Verde,0,0,0
Ivory Coast,0,0,0
Refugee Olympic Team,0,0,0
Peru,0,0,0
Qatar,0,0,0
Singapore,0,0,0
Slovakia,0,0,0
Zambia,0,0,0
